Date Reported,Case Number,Classification,Description,Status,Date Occurred,Time Data,Address,Building
10/17/2019, 2019-06863,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,10/14/2019,0:00 -, LUNA ON PINE,
10/17/2019, 2019-06872,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,10/12/2019,11:17-10/13/2019,3420 WALNUT ST,VAN PELT LIBRARY
10/17/2019, 2019-06878, THEFT FROM VEHICLE,"THEFT FROM VEHICLE NON ACCESSORY, $200 AND OVER",Active,10/17/2019, 18:20 - 10/17/2019  20:26, 240 S 31ST ST, HECHT TENNIS PAVILION
10/18/2019, 2019-06910,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,10/16/2019,12:00 -, LUNA ON PINE,
10/19/2019, 2019-06942,FRAUD,FRAUD OTHER FRAUDS, Inactive,10/11/2019,0:00 -,HUNTSMAN HALL,
10/20/2019, 2019-06959,DUI,DRIVING UNDER THE INFLUENCE DUI,Arrest,10/12/2019,11:17-10/13/2019, 3700 MARKET ST,3700 BLOCK OF MARKET
10/20/2019, 2019-06964,THEFT FROM BUILDING,THEFT UNDER $50 INC ATTEMPTS BUILDINGS, Arrest,10/20/2019, 5:22 - 10/20/2019 5:44,51 N 39TH ST,PRESBYTERIAN HOSPITAL
10/20/2019, 2019-06969,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,10/20/2019, 13:07 - 10/20/2019  13:36, 3817 WALNUT ST,SIGMA ALPHA MU
10/21/2019, 2019-06980, OTHER OFFENSE, OTHER OFFENSES PROBATION LAW VIOLATIONS,Arrest,10/21/2019, 7:39 - 10/21/2019 8:23,51 N 39TH ST,PRESBYTERIAN HOSPITAL
10/21/2019, 2019-06982,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Active,10/19/2019, 20:30 - 10/21/2019  8:00,2930 CHESTNUT ST,EVO BUILDING
10/21/2019, 2019-06985,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Arrest,10/19/2019,12:00 - 10/21/2019 12:19,PRESBYTERIAN HOSPITAL,
10/21/2019, 2019-06990,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,10/16/2019, 14:29 - 10/16/2019  14:29, 400 S 40TH ST, LUNA ON PINE
10/21/2019, 2019-06998,RETAIL THEFT, THEFT UNDER $50 INC ATTEMPTS RETAIL THEFT,Arrest,10/12/2019,11:17-10/13/2019,3925 WALNUT ST,CVS
10/22/2019, 2019-07013,SEX OFFENSE,SEX OFFENSES INDECENT ASSAULT,Active,10/12/2019,11:17-10/13/2019,4100 PINE ST,4100 BLOCK OF PINE
10/23/2019, 2019-07033,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD, Inactive,09/10/2019,12:00 - 09/10/2019 12:00,4125 Chestnut,
10/23/2019, 2019-07034,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,10/23/2019,12:45-10/23/2019, 3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
10/23/2019, 2019-07037,PURSE SNATCH, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 PURSE SNAT,Active,10/23/2019,12:45-10/23/2019,4000 MARKET ST,"40/MARKET, INTERSECTION OF"
10/24/2019, 2019-07052,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PUBLIC UTILITIES/SERVI,Inactive,10/23/2019,12:45-10/23/2019 3:04,4030 IRVING ST,
10/24/2019, 2019-07055,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 POCK PICK, Active,10/24/2019, 3:07 - 10/24/2019 4:04,3300 MARKET ST,"33/MARKET, INTERSECTION OF"
10/24/2019, 2019-07058,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD,Active,10/23/2019, 17:30 - 10/23/2019  17:30, 3401 WALNUT ST,STARBUCK2
10/23/2019, 2019-07059, AUTO THEFT,AUTO THEFT STOLEN PASSENGER VEHICLE, Active,10/22/2019, 20:00 - 10/23/2019  1:00,3600 LUDLOW ST,3600 BLOCK OF LUDLOW
10/24/2019, 2019-07073,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Arrest,10/24/2019, 19:54 - 10/24/2019  20:18, 3300 SMITH WALK," 33/SMITH WALK, INTERSECTION OF"
10/24/2019, 2019-07077,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,10/24/2019,23:09 - 10/24/2019 23:13,BLARNEY STONE,
10/25/2019, 2019-07087, OTHER OFFENSE, OTHER OFFENSES DEFIANT TRESPASS,Arrest,10/25/2019, 7:14 - 10/25/2019 7:39,3330 WALNUT ST,LEVINE HALL
10/25/2019, 2019-07091, THEFT FROM VEHICLE,"THEFT FROM VEHICLE ACCESSORIES, $200 AND OVER",Active,10/25/2019, 9:33 - 10/25/2019 9:34,4000 BALTIMORE AVE,4000 BLOCK OF BALTIMORE
10/25/2019, 2019-07102,DUI,DRIVING UNDER THE INFLUENCE DUI,Arrest,10/23/2019,12:45-10/23/2019,4100 SPRUCE ST,4100 BLOCK OF SPRUCE
10/26/2019, 2019-07111,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 BICYCLE,Active,10/23/2019,12:45-10/23/2019,3730 WALNUT ST,HUNTSMAN HALL
10/26/2019, 2019-07115,DUI,DRIVING UNDER THE INFLUENCE DUI,Arrest,10/23/2019,12:45-10/23/2019, 4200 SPRUCE ST,4200 BLOCK OF SPRUCE
10/27/2019, 2019-07160, OTHER OFFENSE, HARASSMENT, Inactive,10/27/2019,12:37-10/27/2019, 51 N 39TH ST,PRESBYTERIAN HOSPITAL
10/28/2019, 2019-07184,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PUBLIC UTILITIES/SERVI, Cleared by Investigatio,10/27/2019,12:37-10/27/2019, 235 S 33RD ST, WEIGHTMAN HALL
10/28/2019, 2019-07188, THEFT FROM VEHICLE,"THEFT FROM VEHICLE NON ACCESSORY, $50 TO $199.99", Active,10/28/2019,12:00-10/28/2019, 2929 WALNUT ST,FMC TOWER
10/29/2019, 2019-07212,HARASSMENT, OTHER OFFENSES HARASSMENT BY COMMUNICATION,Inactive,10/29/2019, 17:30 - 10/29/2019  17:32, 4000 PINE ST,APES-2
10/29/2019, 2019-07221,HARASSMENT, OTHER OFFENSES HARASSMENT BY COMMUNICATION,Inactive,10/29/2019,22:40 - 10/29/2019 23:54,LEIDY DORM,
10/30/2019, 2019-07240, AUTO THEFT,AUTO THEFT STOLEN PASSENGER VEHICLE, Arrest,10/30/2019, 5:28 - 10/30/2019 6:14,3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
10/30/2019, 2019-07241,RETAIL THEFT, THEFT UNDER $50 INC ATTEMPTS RETAIL THEFT, Active,10/30/2019, 15:52 - 10/30/2019  16:03, 4001 WALNUT ST,FRESH GROCER
10/30/2019, 2019-07243,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,10/14/2019, 15:00 - 10/28/2019  14:00, 3733 SPRUCE ST,VANCE HALL
10/30/2019, 2019-07247,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 ALL OTHERS,Inactive,10/19/2019, 14:00 - 10/19/2019  21:00, 4012 SPRUCE ST,SPRUCE
10/30/2019, 2019-07248,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Active,10/30/2019, 17:30 - 10/30/2019  20:20, 3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
10/30/2019, 2019-07250,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 BICYCLE, Inactive,10/30/2019, 20:50 - 10/30/2019  21:05, 1 S 39TH ST, UNIT BLOCK OF S. 39TH
10/30/2019, 2019-07251,RETAIL THEFT, THEFT UNDER $50 INC ATTEMPTS RETAIL THEFT,Active,10/30/2019, 21:20 - 10/30/2019  21:43, 3744 SPRUCE ST,WAWA- SPRUCE ST
10/31/2019, 2019-07269,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS,Arrest,10/31/2019, 15:42 - 10/31/2019  16:02, 221 41,41
10/31/2019, 2019-07277,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Inactive,10/31/2019, 6:30 - 10/31/2019 20:00, 3335 WOODLAND WALK,Lauder College House
11/01/2019, 2019-07293,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Active,10/31/2019,22:00-11/01/2019,3420 WALNUT ST,VAN PELT LIBRARY
11/01/2019, 2019-07310, THEFT FROM VEHICLE,"THEFT FROM VEHICLE NON ACCESSORY, $50 TO $199.99", Inactive,11/01/2019,11:00-11/01/2019, 3400 CIVIC CENTER BLVD,PERELMAN CENTER FOR ADVANC
11/01/2019, 2019-07311,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Arrest,11/01/2019,11:00-11/01/2019,4000 LOCUST WALK,"40/LOCUST, INTERSECTION OF"
11/01/2019, 2019-07314,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Arrest,11/01/2019,11:00-11/01/2019,3409 WALNUT ST,CVS
11/01/2019, 2019-07321, OTHER OFFENSE, OTHER OFFENSES CRIMINAL TRESPASS, Arrest,11/01/2019,11:00-11/01/2019,3565 SANSOM ST,KINGS COURT
11/02/2019, 2019-07346,DUI,DRIVING UNDER THE INFLUENCE DUI,Arrest,11/01/2019,11:00-11/01/2019, 3200 SOUTH ST, 3200 BLOCK OF SOUTH
11/02/2019, 2019-07359,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS,Unfounded,11/02/2019,12:04 - 11/02/2019 12:18,3900 BLOCK OF LOCUST,
11/03/2019, 2019-07402,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,10/31/2019, 7:00 - 11/03/2019 20:30, 3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
11/04/2019, 2019-07407,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Active,10/31/2019, 15:00 - 11/04/2019  8:10,55 S 34TH ST,CHESTNUT 34
11/02/2019, 2019-07410, AGGRAVATED ASSAULT,AGR ASSAULT BY KNIFE OR CUTTING INSTRUMENT, Active,11/02/2019,11:39 -,3300 BLOCK OF MARKET,
11/04/2019, 2019-07413,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Active,10/18/2019, 16:35 - 10/20/2019 10:00, 4207 PINE ST,
11/04/2019, 2019-07415,FRAUD,FRAUD CREDIT CARDS, Inactive,11/03/2019, 1:46 -, 4217 CHESTNUT ST,
11/04/2019, 2019-07418, OTHER OFFENSE, HARASSMENT, Inactive,10/31/2019,12:00 -,PRESBYTERIAN HOSPITAL,
11/04/2019, 2019-07421,THEFT FROM BUILDING,THEFT UNDER $50 INC ATTEMPTS BUILDINGS, Active,11/04/2019, 16:08 - 11/04/2019  16:50, 4001 WALNUT ST,FRESH GROCER
11/04/2019, 2019-07430, AUTO THEFT,AUTO THEFT STOLEN PASSENGER VEHICLE,Active,11/03/2019, 20:30 - 11/04/2019  17:10, 4200 MARKET ST,"42/MARKET, INTERSECTION OF"
11/04/2019, 2019-07431, AUTO THEFT,AUTO THEFT STOLEN PASSENGER VEHICLE,Active,11/03/2019, 16:30 - 11/04/2019  19:00, 3900 BALTIMORE AVE,3900 BLOCK OF BALTIMORE
11/05/2019, 2019-07436, BURGLARY,BURGLARY RES/DAY/FORCE 6AM - 6PM PRI RES, Inactive,11/05/2019,11:16 - 11/05/2019 11:34,PHI GAMMA DELTA,
11/05/2019, 2019-07444, THEFT FROM VEHICLE,"THEFT FROM VEHICLE NON ACCESSORY, $200 AND OVER",Active,10/21/2019,0:00 -,"41/PINE, INTERSECTION OF",
11/05/2019, 2019-07446,THEFT FROM BUILDING,THEFT UNDER $50 INC ATTEMPTS BUILDINGS, Inactive,11/05/2019, 19:05 - 11/05/2019  19:05, 4039 CHESTNUT ST,4039 CHESTNUT
11/05/2019, 2019-07447,HARASSMENT, OTHER OFFENSES HARASSMENT BY COMMUNICATION, Active,11/05/2019, 18:55 - 11/05/2019  19:13, 4109 WALNUT ST,HOMEWOOD SUITES
11/05/2019, 2019-07451,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS,Inactive,11/05/2019,22:27 - 11/05/2019 23:02, TOWNE BUILDING,
11/05/2019, 2019-07457,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Active,11/01/2019, 14:00 - 11/04/2019  6:45,3823 MARKET ST,3823 MARKET
11/06/2019, 2019-07461,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,11/04/2019, 13:00 - 11/04/2019  20:00, 133 S 36TH ST, PERELMAN CENTER POLITICAL SC
11/06/2019, 2019-07465,FRAUD,FRAUD FALSE PRETENSE,Inactive,11/01/2019,11:00-11/01/2019, 3900 WALNUT ST,WEB DUBOIS COLLEGE HOUSE
11/06/2019, 2019-07466, THEFT FROM VEHICLE,"THEFT FROM VEHICLE ACCESSORIES, $200 AND OVER", Inactive,11/01/2019,11:00-11/01/2019,601 UNIVERSITY AVE,MOD 7
11/06/2019, 2019-07468,THEFT FROM BUILDING,THEFT UNDER $50 INC ATTEMPTS BUILDINGS,Inactive,11/06/2019, 14:15 - 11/06/2019  14:30, 3409 WALNUT ST,FRANKLIN TABLE
11/06/2019, 2019-07470,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Active,11/05/2019, 17:10 - 11/06/2019 11:00, 4103 LOCUST ST,
11/07/2019, 2019-07482,DRUNKENESS, DRUNKENNESS PUBLIC DRUNKENNESS,Arrest,11/01/2019,11:00-11/01/2019, 3900 CHESTNUT ST,3900 BLOCK OF CHESTNUT
11/07/2019, 2019-07502,ASSAULT,OTHER ASSAULTS ASSAULT,Arrest,11/07/2019,11:55 - 11/07/2019 11:57,"40/LUDLOW, INTERSECTION OF",
11/07/2019, 2019-07505, WEAPONS, PROHIBITED OFFENSIVE WEAPON,CITATION,11/07/2019, 17:23 - 11/07/2019  17:37, 3925 WALNUT ST,TAP HOUSE
11/07/2019, 2019-07508,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Active,11/02/2019,0:00-11/02/2019,4015 BALTIMORE,4015 BALTIMORE
11/08/2019, 2019-07531,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,11/01/2019, 20:00 - 11/05/2019  9:00,3330 WALNUT ST,LEVINE HALL
11/08/2019, 2019-07537,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER RETAIL THEF, Active,11/02/2019,0:00-11/02/2019,3603 WALNUT ST,BLUE MERCURY
11/08/2019, 2019-07549,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Inactive,11/08/2019, 5:00 - 11/08/2019 18:45, 231 S 34TH ST, NEW CHEMISTRY
11/09/2019, 2019-07571,DUI,DRIVING UNDER THE INFLUENCE DUI,Arrest,11/02/2019,0:00-11/02/2019, 3700 SPRUCE ST,3700 BLOCK OF SPRUCE
11/09/2019, 2019-07579,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Active,11/09/2019,11:45 -,CVS,
11/09/2019, 2019-07593,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 BICYCLE,Active,11/09/2019, 17:15 - 11/09/2019  19:25, 3701 CHESTNUT ST,INTERNATIONAL HOUSE
11/10/2019, 2019-07606,ASSAULT,OTHER ASSAULTS ASSAULT,Arrest,11/10/2019, 3:27 - 11/10/2019 3:55,3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
11/10/2019, 2019-07613,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 BICYCLE, Active,11/09/2019, 17:30 - 11/10/2019  7:30,4205 PINE ST,PARENT INFANT CENTER
11/11/2019, 2019-07630,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,11/11/2019, 6:45 - 11/11/2019 8:30,3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
11/11/2019, 2019-07631, OTHER OFFENSE, OTHER OFFENSES DEFIANT TRESPASS, Arrest,11/11/2019,12:35 - 11/11/2019 12:50,FISHER BENNETT HALL,
11/11/2019, 2019-07634,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER RETAIL THEF,Arrest,11/11/2019, 14:09 - 11/11/2019  14:34, 3925 WALNUT ST,CVS
11/11/2019, 2019-07638,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Active,11/11/2019, 8:50 - 11/11/2019 16:14, 3501 SANSOM ST,PENN LAW SCHOOL
11/11/2019, 2019-07639,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,11/11/2019, 16:15 - 11/11/2019  17:00, 3701 WALNUT ST,POTTRUCK CENTER
11/11/2019, 2019-07641,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Arrest,11/11/2019, 17:30 - 11/11/2019  19:45, 3730 WALNUT ST,HUNTSMAN HALL
11/11/2019, 2019-07642,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Arrest,11/02/2019,0:00-11/02/2019,255 S 36TH ST, WILLIAMS HALL
11/12/2019, 2019-07667,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 BICYCLE,Inactive,11/02/2019,0:00-11/02/2019, 255 S 36TH ST, WILLIAMS HALL
11/12/2019, 2019-07671, OTHER OFFENSE, OTHER OFFENSES DANGEROUS DOG, Inactive,11/12/2019, 21:32 - 11/12/2019  21:47, 3900 LOCUST WALK,3900 BLOCK OF LOCUST
11/13/2019, 2019-07688,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD, Inactive,11/13/2019, 14:11 - 11/13/2019  14:56, 133 S 36TH ST, PERELMAN CENTER POLITICAL SC
11/13/2019, 2019-07692,THEFT OTHER,THEFT UNDER $50 INC ATTEMPTS ALL OTHERS,Arrest,11/02/2019,0:00-11/02/2019  16:34, 105 S. 41ST ST,
11/14/2019, 2019-07700,DUI,DRIVING UNDER THE INFLUENCE DUI,Arrest,11/14/2019,0:27 -,4100 BLOCK OF SANSOM,
11/13/2019, 2019-07703,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD, Inactive,11/02/2019,0:00-11/02/2019,101 S 39TH ST, HAMILTON COURT
11/14/2019, 2019-07707, OTHER OFFENSE, HARASSMENT, Inactive,11/14/2019,10:54 - 11/14/2019 10:55,CHESTNUT ST,
11/14/2019, 2019-07709,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,11/02/2019,0:00-11/02/2019,3939 CHESTNUT ST,HUB2
11/14/2019, 2019-07713, DISORDERLY CONDUCT,DISORDERLY CONDUCT ARREST,Arrest,11/14/2019,12:06 - 11/14/2019 12:52,BAGELRY SPREAD,
11/14/2019, 2019-07728, AGGRAVATED ASSAULT,AGR ASSAULT BY KNIFE OR CUTTING INSTRUMENT, Active,11/14/2019, 21:51 - 11/14/2019  21:54, 4000 SPRUCE ST,COPA BANANA
11/15/2019, 2019-07741,THEFT OTHER,THEFT UNDER $50 INC ATTEMPTS ALL OTHERS,Arrest,11/15/2019,11:05 -,RODIN COLLEGE HOUSE (HRN),
11/15/2019, 2019-07742,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Arrest,11/15/2019,11:44 -,CVS,
11/15/2019, 2019-07745,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Inactive,10/10/2019, 14:00 - 11/14/2019  15:00, 3601 MARKET ST,3601 MARKET
11/15/2019, 2019-07762,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,11/02/2019,0:00-11/02/2019, 3925 WALNUT ST,CHIPOTLE
11/16/2019, 2019-07771,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Arrest,11/02/2019,0:00-11/02/2019, 4001 WALNUT ST,FRESH GROCER
11/16/2019, 2019-07780,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,11/16/2019, 14:13 - 11/16/2019  14:40, 209 S 33RD ST, DAVID RITTENHOUSE LAB
11/16/2019, 2019-07781,ASSAULT,OTHER ASSAULTS ASSAULT, Active,11/16/2019, 19:13 - 11/16/2019  19:34, 51 N 39TH ST,PRESBYTERIAN HOSPITAL
11/17/2019, 2019-07796,FRAUD,FRAUD OTHER FRAUDS, Active,11/17/2019,10:45 - 11/17/2019 11:00,CVS,
11/17/2019, 2019-07799,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Inactive,10/15/2019,0:00-11/17/2019, 312 40,40
11/17/2019, 2019-07806,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS,Exceptionally Cleared,10/15/2019,0:00-11/17/2019, 4000 SANSOM ST,4000 BLOCK OF SANSOM
11/18/2019, 2019-07809,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,11/15/2019, 14:45 - 11/15/2019  19:00, 4039 CHESTNUT ST,4039 CHESTNUT
11/18/2019, 2019-07811,HARASSMENT, OTHER OFFENSES HARASSMENT BY COMMUNICATION, Arrest,10/15/2019,0:00-11/17/2019,3737 MARKET ST,Penn Medicine at 3737 Market
11/18/2019, 2019-07820,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS,Inactive,11/18/2019, 15:30 - 11/18/2019  16:30, 221 41,41
11/18/2019, 2019-07822,RETAIL THEFT, THEFT UNDER $50 INC ATTEMPTS RETAIL THEFT,Active,11/18/2019, 19:41 - 11/18/2019  20:13, 3604 CHESTNUT ST,WAWA- CHESTNUT ST
11/19/2019, 2019-07831,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD, Inactive,11/15/2019,11:12-11/15/2019, 4210 CHESTNUT ST,CHESTNUT ST
11/19/2019, 2019-07834,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PRI PROP UNDER 500, Inactive,11/19/2019,11:48 - 11/19/2019 12:12,CLASS OF 1920 DINING COMMONS,
11/19/2019, 2019-07838,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PRI PROP UNDER 500, Inactive,11/19/2019, 17:48 - 11/19/2019  18:04, 4000 BALTIMORE AVE,"40/BALTIMORE, INTERSECTION OF"
11/19/2019, 2019-07839,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS,Inactive,11/19/2019,10:30 - 11/19/2019 10:50, PINE,
11/19/2019, 2019-07841,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Active,11/19/2019, 19:57 - 11/19/2019  20:38, 3744 SPRUCE ST,WAWA- SPRUCE ST
11/19/2019, 2019-07844,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Active,11/19/2019, 20:39 - 11/19/2019  21:21, 3744 SPRUCE ST,WAWA- SPRUCE ST
11/19/2019, 2019-07847,DUI,DRIVING UNDER THE INFLUENCE DUI,Arrest,11/15/2019,11:12-11/15/2019,3900 MARKET ST,"39/MARKET, INTERSECTION OF"
11/18/2019, 2019-07853,ASSAULT,OTHER ASSAULTS ASSAULT,Arrest,11/18/2019,23:00 -,PRESBYTERIAN HOSPITAL,
11/20/2019, 2019-07863,OTHER ASSAULT,other offense/tTERRORISTIC THREAT, Inactive,11/20/2019, 13:57 - 11/20/2019  15:05, 51 N 39TH ST,PRESBYTERIAN HOSPITAL
11/21/2019, 2019-07872,DUI,DRIVING UNDER THE INFLUENCE DUI, Arrest,11/15/2019,11:12-11/15/2019, 3800 WALNUT ST,"38/WALNUT, INTERSECTION OF"
11/21/2019, 2019-07877, THEFT FROM VEHICLE,"THEFT FROM VEHICLE NON ACCESSORY, UNDER $50.00",Inactive,11/21/2019,10:00 - 11/21/2019 11:30,PERELMAN CENTER FOR ADVANC,
11/21/2019, 2019-07889,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,11/18/2019, 17:00 - 11/18/2019  17:05, 3600 SPRUCE ST,RIEPE DORM
11/21/2019, 2019-07896, ROBBERY-GUN, ROBBERY COMMERCIAL HOUSE BY HANDGUN, Active,11/21/2019,22:58 - 11/21/2019 23:50,AMERICAS BEST WINGS,
11/22/2019, 2019-07911,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,11/22/2019,12:40-11/22/2019, 3417 SPRUCE ST,HOUSTON HALL
11/22/2019, 2019-07913,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Active,11/22/2019,12:40-11/22/2019, 3700 SPRUCE ST,QUADRANGLE
11/22/2019, 2019-07919,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,11/22/2019, 13:55 - 11/22/2019  14:31, 51 N 39TH ST,PRESBYTERIAN HOSPITAL
11/22/2019, 2019-07920,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,11/22/2019, 13:00 - 11/22/2019  14:00, 3409 WALNUT ST,FRANKLIN TABLE
11/22/2019, 2019-07921, DISORDERLY CONDUCT,DISORDERLY CONDUCT ARREST,Arrest,11/22/2019, 18:02 - 11/22/2019  19:12, 3900 FILBERT ST," 39/FILBERT, INTERSECTION OF"
11/23/2019, 2019-07937,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,11/23/2019,12:30-11/23/2019, 3231 WALNUT ST,LRSM
11/24/2019, 2019-07954,DRUNKENESS, DRUNKENNESS PUBLIC DRUNKENNESS, Arrest,11/24/2019, 2:42 - 11/24/2019 2:48,3900 LUDLOW ST,"39/LUDLOW, INTERSECTION OF"
11/24/2019, 2019-07959,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 BICYCLE,Arrest,11/24/2019, 13:25 - 11/24/2019  13:55, 240 S 40TH ST, SCHATTNER BUILDLING
11/24/2019, 2019-07964, BURGLARY,BURGLARY RES/NIGHT/NO FORCE 6PM - 6AM PRI RES,Inactive,11/24/2019, 18:30 - 11/24/2019  20:13, 4050 SPRUCE ST,Men's Club Lacrosse
11/25/2019, 2019-07977,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Active,11/23/2019,10:00-11/25/2019,219 S 33RD ST, HUTCHINSON GYM
